State_Rank,State,Cohort,LFPR,WPR,UR,LFPR_Change,Predicted_Improving_Next_Year,Prediction_Probability_Pct,Focus_Areas
21,Punjab,Growing but Constrained,26.041666666666668,22.791666666666668,12.675,3.6,Yes,55.7,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
22,Manipur,Growing but Constrained,27.608333333333334,25.525,8.766666666666667,6.57,Yes,60.5,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
23,Tripura,Growing but Constrained,29.108333333333334,28.316666666666663,3.525,7.53,Yes,52.2,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
24,West Bengal,Growing but Constrained,29.875,28.816666666666663,3.891666666666667,4.73,Yes,55.6,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
25,Uttarakhand,Growing but Constrained,30.53333333333333,28.266666666666666,9.141666666666667,3.62,Yes,66.0,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
26,Goa,Growing but Constrained,30.59166666666667,23.383333333333336,22.525,8.35,Yes,61.6,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
27,The Dadra and Nagar Haveli and Daman and Diu,High Potential,38.225,35.300000000000004,7.258333333333333,-1.57,Yes,55.5,"Sustain positive momentum while examining employment quality, retention and advancement."
28,Jammu and Kashmir,High Potential,40.333333333333336,35.13333333333333,15.858333333333334,2.37,Yes,54.1,"Sustain positive momentum while examining employment quality, retention and advancement."
29,Arunachal Pradesh,High Potential,44.48333333333333,40.31666666666667,12.016666666666666,19.62,Yes,55.1,"Sustain positive momentum while examining employment quality, retention and advancement."
30,Ladakh,High Potential,45.74166666666667,39.208333333333336,18.158333333333335,8.89,Yes,62.3,"Sustain positive momentum while examining employment quality, retention and advancement."
31,Meghalaya,High Potential,48.06666666666666,41.391666666666666,15.433333333333335,8.61,Yes,78.4,"Sustain positive momentum while examining employment quality, retention and advancement."
32,Chhattisgarh,High Potential,48.18333333333333,45.916666666666664,6.383333333333333,6.45,Yes,86.7,"Sustain positive momentum while examining employment quality, retention and advancement."
33,Andaman and Nicobar Islands,High Potential,48.708333333333336,35.85,26.233333333333334,7.01,Yes,82.0,"Sustain positive momentum while examining employment quality, retention and advancement."
34,Nagaland,High Potential,51.53333333333333,47.791666666666664,8.441666666666666,9.1,Yes,88.5,"Sustain positive momentum while examining employment quality, retention and advancement."
35,Sikkim,High Potential,54.44166666666666,51.35,5.983333333333333,7.71,Yes,87.0,"Sustain positive momentum while examining employment quality, retention and advancement."
36,Himachal Pradesh,High Potential,58.291666666666664,50.75833333333333,16.3,5.77,Yes,90.8,"Sustain positive momentum while examining employment quality, retention and advancement."
