Country,State,Year,Type Of Areas,Gender,"Persons Working In Agriculture, Forestry And Fishing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Mining And Quarrying Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Manufacturing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Electricity, Gas, Steam And Air Conditioning Supply Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Water Supply, Sewerage, Waste Management And Remediation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Construction Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Wholesale, Retail Trade, Repair Of Motor Vehicles And Motorcycles Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Transportation And Storage Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Accommodation And Food Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Information And Communication Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Financial And Insurance Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Real Estate Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Professional, Scientific And Technical Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Administrative And Support Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Public Administration And Defence, Compulsory Social Security Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Education Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Human Health And Social Work Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Arts, Entertainment And Recreation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Other Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Households As Employers For Own Use Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Extraterritorial Organizations And Bodies Industry (UOM:%(Percentage)), Scaling Factor:1"
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Persons,59.18,0.3,7.23,0.21,0.11,11.24,6.56,4.4,1.8,0.7,0.6,0.06,0.25,0.41,1.71,1.57,1.63,0.25,1.49,0.29,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Male,6.25,1.27,14.38,0.5,0.21,15.53,21.9,9.71,4.3,4.88,2.42,0.96,1.1,0.7,3.91,5.09,1.99,0.38,3.39,1.15,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Female,13.26,0.54,22.07,0.25,0.06,3.66,15.84,0,7.25,2.57,1.29,0,0.5,0.56,4.29,8.67,3.68,0,6.24,9.28,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Persons,8.36,1.05,16.7,0.43,0.17,11.94,20.07,6.78,5.19,4.18,2.08,0.67,0.92,0.66,4.03,6.17,2.5,0.26,4.25,3.61,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,39.9,0.58,8.39,0.4,0.14,14.96,11.81,8.13,2.31,2.11,1.31,0.33,0.56,0.67,2.06,2.14,1.22,0.27,2.23,0.48,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,56.5,0.35,11.62,0.05,0.11,5.76,7.07,0,3.22,0.75,0.45,0.03,0.2,0.15,2.69,3.68,2.87,0.22,2.12,2.18,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,46.28,0.49,9.64,0.27,0.13,11.42,9.99,5,2.66,1.59,0.98,0.21,0.42,0.47,2.3,2.74,1.85,0.25,2.19,1.13,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Male,58.85,0.27,1.12,1.63,0.95,9.82,8.48,3.63,0.22,0.52,0.47,0.09,0.83,0,5.06,6.5,0.81,0,0.47,0.28,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Female,81.64,0,5.05,0.36,0.09,0.38,6.85,0,0.22,0,0.08,0,0,0,1.61,2.62,0.92,0,0.02,0.15,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Persons,69.22,0.15,2.91,1.05,0.56,5.53,7.74,1.98,0.22,0.28,0.29,0.05,0.45,0,3.49,4.74,0.86,0,0.27,0.22,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Male,10.55,0.08,2.87,2.49,1.27,16.28,21.34,7.12,1.24,0.83,1.14,0.39,0.78,0.17,20.8,6.71,3.72,0.18,1.45,0.58,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Female,25.97,0,7.61,2.05,0.97,3.77,24.39,0.27,1.79,0.58,0.47,0.46,0.25,0,9.2,9.44,6.66,0,1.93,4.19,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Persons,16.19,0.05,4.6,2.33,1.16,11.71,22.45,4.61,1.44,0.74,0.89,0.42,0.59,0.11,16.56,7.71,4.8,0.11,1.63,1.9,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,51.79,0.24,1.37,1.75,1,10.76,10.36,4.14,0.37,0.57,0.57,0.13,0.83,0.03,7.37,6.53,1.24,0.03,0.61,0.33,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,75.75,0,5.32,0.53,0.18,0.74,8.71,0.03,0.39,0.06,0.13,0.05,0.03,0,2.41,3.35,1.53,0,0.23,0.58,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,62.41,0.14,3.12,1.21,0.64,6.32,9.63,2.32,0.38,0.34,0.37,0.1,0.47,0.01,5.17,5.12,1.37,0.01,0.44,0.44,
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,Male,34.47,0.25,8.63,0.02,0.29,21.48,15.11,9.04,2.32,0.25,0.35,0,0.12,1.08,1.18,3.01,0.91,0.22,1.14,0.11,
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,Female,78.99,0,9.96,0,0,0.02,2.94,0,0.72,0,0.07,0,0.02,0.17,0.29,4.3,1.09,0.02,0.58,0.83,
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural,Persons,51.43,0.16,9.14,0.01,0.18,13.3,10.47,5.6,1.71,0.15,0.24,0,0.08,0.74,0.84,3.5,0.98,0.14,0.93,0.38,
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,Male,2.99,0.99,9.92,0.6,0.31,13.35,38.57,8.29,3.73,1.73,2.15,0.13,1.58,1.49,4.12,4.69,2.32,0.29,2.5,0.23,
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,Female,18.3,0.33,12.13,0,0,0.64,14.11,0.9,4.09,0.4,1.99,2.46,1.8,1.67,3.78,15.98,3.81,0.52,6.07,11,
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,Persons,7.1,0.82,10.51,0.44,0.23,9.93,31.99,6.31,3.83,1.38,2.11,0.76,1.64,1.53,4.03,7.73,2.72,0.35,3.46,3.13,
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,30.94,0.34,8.78,0.09,0.29,20.57,17.74,8.96,2.48,0.41,0.55,0.01,0.28,1.13,1.51,3.2,1.07,0.23,1.3,0.12,
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,74.73,0.02,10.11,0,0,0.07,3.73,0.06,0.95,0.03,0.21,0.17,0.14,0.28,0.53,5.12,1.28,0.05,0.96,1.54,
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,47.15,0.22,9.27,0.06,0.19,12.98,12.55,5.67,1.92,0.27,0.42,0.07,0.23,0.81,1.15,3.91,1.15,0.16,1.17,0.65,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,Male,46.25,0,3.91,0.18,0.02,26.17,11.28,4.71,1.05,0.44,0.28,0,0.03,0.45,0.3,2.18,0.18,0.07,1.85,0.63,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,Female,84.49,0,6.77,0,0,0.61,3.73,0,0.27,0,0.38,0,0,0.02,0.11,2.05,0.73,0,0.51,0.33,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,Persons,57.78,0,4.77,0.13,0.02,18.46,9.01,3.29,0.82,0.31,0.31,0,0.02,0.32,0.24,2.14,0.35,0.05,1.44,0.54,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,Male,7.53,0,8.37,0.08,1.04,17.53,30.66,9.51,3.17,1.15,2.71,0.38,1.66,2.39,2.49,4.66,1.41,0.2,3.69,1.39,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,Female,33.98,0,16.48,0,0.81,1.58,11.27,0.77,1.45,1.08,1.17,0,0.49,0,1.79,16.86,4.4,0,3.35,4.5,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,Persons,12.31,0,9.84,0.06,1,14.65,27.15,7.93,2.86,1.14,2.43,0.31,1.45,1.96,2.36,6.86,1.95,0.16,3.63,1.95,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,42.76,0,4.31,0.17,0.11,25.39,13.03,5.14,1.24,0.5,0.5,0.03,0.18,0.63,0.5,2.41,0.29,0.08,2.01,0.7,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,82.06,0,7.24,0,0.04,0.66,4.1,0.04,0.33,0.05,0.42,0,0.02,0.02,0.19,2.77,0.9,0,0.65,0.53,
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,54.24,0,5.17,0.12,0.09,18.17,10.42,3.65,0.98,0.37,0.47,0.02,0.13,0.45,0.41,2.51,0.47,0.06,1.62,0.65,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,Male,0,0,17.22,0.28,0.59,8.55,19.61,7.04,5.77,7.89,5.25,0.79,4.14,0.49,12.37,1.87,2.15,0.43,2.18,3.39,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,Female,0,0,8.6,0,0,0,9.18,0,1.22,13.35,9.68,1.54,2.64,1.57,6.4,14.09,11.34,0.84,4.54,15.02,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,Persons,0,0,15.07,0.21,0.45,6.42,17.01,5.29,4.64,9.25,6.35,0.97,3.77,0.76,10.88,4.91,4.44,0.53,2.77,6.28,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,0,0,17.22,0.28,0.59,8.55,19.61,7.04,5.77,7.89,5.25,0.79,4.14,0.49,12.37,1.87,2.15,0.43,2.18,3.39,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,0,0,8.6,0,0,0,9.18,0,1.22,13.35,9.68,1.54,2.64,1.57,6.4,14.09,11.34,0.84,4.54,15.02,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,0,0,15.07,0.21,0.45,6.42,17.01,5.29,4.64,9.25,6.35,0.97,3.77,0.76,10.88,4.91,4.44,0.53,2.77,6.28,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,Male,65.59,0.44,6.58,0.14,0.04,12.38,5.11,2.22,0.83,0.11,0.43,0,0.11,0.25,1.04,2.56,0.91,0.09,1.03,0.14,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,Female,83.77,0,4.46,0,0,3.6,2.61,0.08,0.48,0,0.22,0,0.04,0,0.35,1.31,2.44,0.03,0.33,0.28,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,Persons,73.56,0.25,5.65,0.08,0.02,8.54,4.01,1.28,0.67,0.06,0.34,0,0.08,0.14,0.73,2.02,1.58,0.06,0.72,0.2,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,Male,6.88,2.68,14.15,0.91,1.37,16.41,21.75,7.1,5.16,0.84,1.91,0.65,0.97,1.61,5.33,5.37,2.56,0.4,2.43,1.53,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,Female,19.15,0.33,7.25,0,0.53,12.15,15.95,0.6,3.51,0.84,1.44,0.24,1.32,0.39,1.53,11.37,5.37,1.04,7.85,9.13,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Urban,Persons,10.33,2.02,12.21,0.66,1.13,15.22,20.12,5.28,4.69,0.84,1.78,0.54,1.07,1.26,4.26,7.05,3.35,0.58,3.95,3.66,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,54.51,0.86,8.01,0.29,0.29,13.14,8.25,3.14,1.64,0.25,0.71,0.12,0.27,0.51,1.85,3.09,1.22,0.15,1.3,0.4,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,77.04,0.03,4.75,0,0.06,4.49,4,0.14,0.79,0.09,0.35,0.03,0.17,0.04,0.47,2.36,2.74,0.14,1.11,1.21,
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,63.84,0.52,6.66,0.17,0.19,9.56,6.49,1.9,1.29,0.18,0.56,0.08,0.23,0.31,1.28,2.79,1.85,0.14,1.22,0.73,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Rural,Male,5.76,0,26.76,0,0.57,23.32,9.64,2.74,14.59,4.67,4.27,0,0,1.79,1.81,0.24,0,0,0.1,3.76,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Rural,Female,1.07,0,59.39,0,0,20.39,0,0,0,0,0,0,0,0,0,1.6,0,0,0,17.55,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Rural,Persons,5.15,0,30.97,0,0.5,22.94,8.39,2.39,12.7,4.06,3.72,0,0,1.56,1.57,0.41,0,0,0.09,5.54,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Urban,Male,0.18,0,16.13,0.17,2.71,10.69,23.43,9.79,3.63,2.92,3.78,1.64,3.1,4.2,3.92,2.31,1.69,0.93,4.34,4.44,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Urban,Female,0,0,15.93,0,2.16,3.08,9.45,0.66,2.96,3.52,7.46,0,2.7,3.85,2.25,12.43,4.65,0,3.81,25.09,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Urban,Persons,0.15,0,16.09,0.14,2.6,9.27,20.84,8.09,3.51,3.03,4.46,1.34,3.03,4.14,3.61,4.19,2.24,0.76,4.24,8.28,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,0.33,0,16.41,0.17,2.65,11.02,23.07,9.6,3.92,2.97,3.79,1.6,3.02,4.14,3.86,2.25,1.65,0.91,4.23,4.42,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,0.02,0,16.68,0,2.12,3.38,9.29,0.65,2.91,3.46,7.33,0,2.65,3.79,2.21,12.24,4.57,0,3.75,24.96,
India,Delhi,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,0.27,0,16.46,0.14,2.55,9.61,20.53,7.95,3.73,3.06,4.44,1.3,2.96,4.07,3.56,4.1,2.19,0.74,4.14,8.21,
India,Goa,"PLFS Year (Jul - Jun), 2023",Rural,Male,14.45,1.56,17.85,0.58,1.08,13.03,18.21,7.03,12.35,0.71,0.77,0.72,0.51,0.82,4.42,3.71,1.74,0.4,0,0.08,
India,Goa,"PLFS Year (Jul - Jun), 2023",Rural,Female,29.08,0,14.45,0,0,0,30.2,0,6.02,0,0,0.89,0,0,4.88,2.6,2.34,0.46,0,9.07,
India,Goa,"PLFS Year (Jul - Jun), 2023",Rural,Persons,18.06,1.17,17.01,0.44,0.81,9.81,21.17,5.29,10.78,0.53,0.58,0.76,0.38,0.62,4.53,3.44,1.89,0.41,0,2.3,
India,Goa,"PLFS Year (Jul - Jun), 2023",Urban,Male,0.87,1.6,19.91,1.71,0.63,19.1,11.73,11.42,13.38,1.04,1.48,3.79,1.76,1.83,3.77,3.28,1.53,0.21,0.55,0.39,
India,Goa,"PLFS Year (Jul - Jun), 2023",Urban,Female,0.77,0,14.01,0,0,0,20.62,0,4.86,0,2.37,2.07,4.79,0.6,2.81,21.65,6.9,0,3.26,15.3,
India,Goa,"PLFS Year (Jul - Jun), 2023",Urban,Persons,0.84,1.18,18.37,1.26,0.46,14.09,14.06,8.43,11.15,0.77,1.71,3.34,2.55,1.51,3.52,8.1,2.94,0.16,1.26,4.3,
India,Goa,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,6.64,1.58,19.04,1.23,0.82,16.52,14.48,9.55,12.94,0.9,1.18,2.48,1.23,1.4,4.04,3.46,1.62,0.29,0.32,0.26,
India,Goa,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,12.27,0,14.19,0,0,0,24.51,0,5.33,0,1.41,1.59,2.85,0.36,3.65,13.91,5.05,0.19,1.93,12.77,
India,Goa,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,8.08,1.18,17.8,0.92,0.61,12.29,17.05,7.11,11,0.67,1.24,2.26,1.64,1.13,3.94,6.14,2.5,0.27,0.73,3.46,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Rural,Male,53.73,0.21,16.83,0.53,0.05,9.93,7.49,4.81,0.95,0.09,0.67,0,0.27,0.64,0.91,0.7,0.36,0.02,1.69,0.1,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Rural,Female,81.64,0.05,7.42,0.01,0.09,3.12,1.69,0,0.37,0,0.28,0,0.04,0.06,0.31,1.46,1.55,0,1.24,0.67,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Rural,Persons,64.91,0.14,13.06,0.32,0.07,7.2,5.17,2.88,0.72,0.06,0.52,0,0.18,0.41,0.67,1,0.84,0.01,1.51,0.33,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Urban,Male,2.07,0.16,35.47,0.7,0.47,8.54,21.81,8.15,2.15,1.38,2.48,0.51,2.1,3.89,2.06,2.7,1.99,0.34,2.65,0.4,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Urban,Female,3.85,0,40.98,0.16,0.29,0.88,8.87,0.11,2.43,0.83,2.17,0.86,2.9,2.14,1.71,9.98,6.04,0.3,5.62,9.9,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Urban,Persons,2.52,0.12,36.87,0.56,0.43,6.59,18.51,6.1,2.22,1.24,2.4,0.6,2.3,3.45,1.97,4.55,3.02,0.33,3.4,2.82,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,32.44,0.19,24.51,0.6,0.23,9.36,13.39,6.19,1.44,0.63,1.42,0.21,1.02,1.98,1.39,1.52,1.03,0.15,2.08,0.22,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,61.13,0.03,16.27,0.05,0.14,2.53,3.59,0.03,0.91,0.22,0.78,0.23,0.79,0.61,0.68,3.7,2.73,0.08,2.4,3.1,
India,Gujarat,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,42.42,0.13,21.64,0.41,0.2,6.98,9.98,4.04,1.26,0.48,1.2,0.22,0.94,1.5,1.14,2.28,1.62,0.13,2.19,1.23,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Rural,Male,33.82,0,15.73,0.98,0.21,13.83,10.83,8.54,2.49,0.24,0.75,0.1,1.15,1,4.69,1.95,1.66,0.21,1.58,0.24,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Rural,Female,63.75,0,13.19,0,0,2.7,5.37,0.06,0,0,0.2,0,0,0.02,3.55,6.04,3.15,0,1.49,0.49,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Rural,Persons,41.49,0,15.08,0.73,0.15,10.98,9.43,6.37,1.86,0.18,0.61,0.07,0.86,0.75,4.4,3,2.04,0.15,1.56,0.3,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Urban,Male,3.63,0.1,24.75,0.77,0.34,12.13,20.81,5.93,4.08,4.98,2.11,1.04,3.03,1.75,3.24,4.67,2.28,0.42,2.99,0.96,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Urban,Female,10.38,0,17.96,0.05,0,1.71,9.05,0.91,1.66,8.5,3.02,0.5,2.18,0.78,0.98,24.51,4.37,0.49,3.27,9.66,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Urban,Persons,5.02,0.08,23.35,0.62,0.27,9.99,18.39,4.9,3.58,5.7,2.3,0.93,2.85,1.55,2.77,8.75,2.71,0.43,3.05,2.75,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,21.77,0.04,19.33,0.9,0.26,13.15,14.82,7.5,3.13,2.13,1.29,0.47,1.9,1.3,4.11,3.03,1.91,0.29,2.14,0.52,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,45.94,0,14.78,0.02,0,2.37,6.6,0.34,0.55,2.84,1.14,0.17,0.73,0.28,2.69,12.2,3.56,0.16,2.09,3.55,
India,Haryana,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,27.5,0.03,18.26,0.69,0.2,10.6,12.87,5.81,2.52,2.3,1.26,0.4,1.62,1.05,3.77,5.2,2.3,0.26,2.13,1.24,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Male,38.19,0.02,7.86,1.1,1.83,19.84,10.13,7.64,1.72,0.35,0.84,0.27,0.4,0.32,3.69,4.19,0.19,0.19,1.09,0.17,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Female,82.96,0,4.14,0.28,0.26,2.52,1.56,0.31,0.08,0.04,0.35,0,0,0.01,0.64,5.21,0.78,0,0.6,0.27,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Persons,59.45,0.01,6.09,0.71,1.08,11.62,6.06,4.16,0.94,0.2,0.6,0.14,0.21,0.17,2.24,4.68,0.47,0.1,0.86,0.22,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Male,2.77,0.22,33.91,2.9,0.63,13.19,13.55,2.78,5.84,1.86,1.68,0.68,0.93,1.51,7.18,3.83,3.33,0,3,0.2,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Female,10.96,0,23.31,0.8,0,4.08,13.16,0,0.64,2.18,1.25,0,0.54,0.23,6.74,21.49,3.17,0.89,4.65,5.91,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,Persons,5.08,0.16,30.92,2.31,0.45,10.62,13.44,2,4.38,1.95,1.56,0.49,0.82,1.15,7.06,8.81,3.29,0.25,3.46,1.81,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,33.46,0.05,11.33,1.34,1.67,18.96,10.58,6.99,2.27,0.55,0.95,0.32,0.47,0.48,4.15,4.14,0.61,0.16,1.35,0.17,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,78.45,0,5.34,0.31,0.25,2.62,2.28,0.29,0.11,0.17,0.4,0,0.03,0.02,1.03,6.23,0.93,0.06,0.85,0.62,
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,53.95,0.03,8.6,0.87,1.02,11.52,6.8,3.94,1.29,0.38,0.7,0.18,0.27,0.27,2.73,5.09,0.76,0.11,1.12,0.38,
